id,person_name,nine_box_category,adjusted,reviewed,label,feedback_len,num_of_sent,performance_class,potential_class,feedback_clean,data_type
10084,Layla Scott,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,285,4,0,0,i feel like layla may have overpromised during her interview she is often found on extended break or on her phone with little drive or interest to accomplish the job she often barely squeak by with minimal accomplishment maybe she should consider something else more appropriate,train
20047,Cason Vargas,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,238,4,0,0,carson ha not been working out very well in my evaluation he is not very punctual and is oft absent his work quality is poor and so too is his effort i do not believe he is a viable investment and is not worth the time and resource,train
20045,Cason Vargas,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,425,4,0,0,casons performance has been nothing short of disappointing in the past quarter he is perpetually distracted and ha not met the deadline even once in the last month when he did meet the deadline his work failed to pas the quality control checkpoint at this rate it would be a necessity to find a suitable replacement for cason unless he doe something miraculous to up his performance on par with the best performer,train
20043,Cason Vargas,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,599,5,0,0,cason vargas is a software developer for our customer service team he started here last fall and ha been responsible for improving user interface error and bug on various customer service application operated on different type of technology website mobile website mobile app and instore machine he ha attended to multiple customer but i have received feedback that many bug remain on the company technology and some customer are not satisfied with their user experience i have also noticed cason missing a few staff meeting im concerned about his work record this quarter,train
20028,Rowan Cain,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,484,3,0,0,mr cain started with the company last month and every day ha been a ray of sunshine until it time to get to work mr cain give 110 percent to every task he like and is always there to help people when he feel like it if a customer is not to his liking or if it is a thursday mr cain is rude in manner and ha to be removed from the floor we wish we could see more consistent performance from mr cain a right now we are frustrated with his inconsistent performance,train
20005,Jude May,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,473,6,0,0,jude has potential but need coaching in several area their quality of work is very poor with many mistake i have talked to jude on many occasion about their work quality and they are defensive and deny the mistake even when i have shown several example jude also need to act in a more professional manner they do not take any sort of feedback well jude should not be given a raise this year and need to complete a rigid coaching program to continue employment,train
20003,Jude May,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,156,4,0,0,jude is an embarrassment he never even try or care at his job if he keep this up he wont have a future here in the company such a waste of potential,train
20002,Jude May,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,442,4,0,0,jude may has not been working to a satisfactory level and must improve on all aspect on their work the worker in question need to show a better attitude and more positive outlook to the work and make sure it completed in a timely manner with better detail jude can and must show a willingness to progress further we can look at this again in the future and we can see how we can work with the individual to make the improvement needed,train
20001,Jude May,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,400,4,0,0,jude has been disappointing in the key aspect of her work despite being allocated to a number of different task she ha failed to demonstrate a satisfactory level of output her engagement with the job ha been poor and she show little interest in developing even though these opportunity have been provided there doe not seem to be much benefit to retaining jude in the short or long term,train
10210,Jaiden Horne,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,358,4,0,0,jaiden has been repeatedly failing to deliver what has been asked of him and show little to no interest in the assignment the team had to work extra hour because of his lacklustre performance this quarter a simple 1day task take 34 day when assigned to jaiden i believe if this sort of abysmal work continues he may have to start looking elsewhere,train
10208,Jaiden Horne,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,299,4,0,0,jaiden showed this quarter that he really cannot perform well im sorry to say that but hiring that guy isnt good for our company what ive understood is that even if he put more effort into his work he wont do good so i dont know what to tell you except that i maybe recommend firing him,train
10207,Jaiden Horne,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,194,4,0,0,jayden horne is not a team player she has shown that her competence is below the level that is required at present the task she ha completed are below average with time jaiden will improve,train
10169,Katherine Terry,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,303,5,0,0,katherine consistently miss her deadline she show no sign of caring about improving her subpar work the quality of her performance is always lower than the rest of her team she is not proficient at organizing spreadsheet which wa listed on her resume she is late to work more time than not,train
10168,Katherine Terry,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,567,6,0,0,katherine struggle to meet the minimum requirement of her role on several occasion she did not perform in accordance with company standard and this resulted in significant rework katherine is perceived a someone who cannot be relied upon and this ha created a toxic atmosphere in her team katherine ha indicated that she is not willing to work on her performance for these reason katherine must be seen a both a low performer and a worker with low potential at this stage unfortunately it is concluded that katherine would be at risk of redundancy,train
10167,Katherine Terry,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,209,3,0,0,katherine has a bad attitude towards work and ha caused some concern on the team her everyday performance is low in quality and attempt at training have been unsuccessful high priority on redundancy list,train
10140,Lexi Rogers,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,282,4,0,0,lexi rogers doe not meet expectation with the task given to her rogers lack consistency in her work and communication it is clear to me that more training is required of her until she can meet expectation if she doe not work up to the expectation she should be terminated,train
10127,Marc Hughes,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,210,4,0,0,marc hughes is not showing the intent that is needed at this level overall his work ha shown little talent he will do well to continue developing his skill at this time the work ha been irregular at best,train
10126,Marc Hughes,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,163,2,0,0,your achievement are well below the normal average none of your activity meet quality standard your creativity is null your communication skill are very poor,train
10125,Marc Hughes,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,358,4,0,0,marc need a lot of improvement for next quarter he need improvement on listening and using objective language when writing the session note another area to improve on is conducting the therapy session with the kid marc is great with the child however he could improve on his multitasking with playing with the kid and working on the protocol,train
10087,Layla Scott,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,318,4,0,0,layla scott often show up to work late often without an valid email or notification leaving the team wondering we sometimes could not see her in her office for a long period of time her performance were underwhelming it take her three time than average worker time to finish half of a regular assigned task,train
10085,Layla Scott,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,335,4,0,0,layla scott is an underachiever and doe the bare minimum at best she seldom come to work early and we are lucky if she come on time at all she is constantly calling off shift for work with little notice she ha very low potential of ever becoming a good waitress simply because she refuse to listen to advice or instruction,train
10059,Amelie Martin,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,437,8,0,0,amelie is a fickle minded person she come late to the office very often is irregular in attending meeting not listening properly unable to answer client query in meeting on email unable to maintain proper balance between work personal life unprofessional behavior with colleague senior this is in spite of the fact that she ha some talent in her to produce better result need to be guided in proper direction,train
70,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,368,4,0,0,tom barrett ha been struggling in his position his work is rarely up to the minimum acceptable level he make too many error and is reluctant to accept criticism thus hampering his ability to improve he seems distracted at work and is often late completing task when all others have long finished overall i can not see any prospect of improvement in the future,train
33,Kayden Hill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,185,4,0,0,kayden hill struggle with the task set before him he is easily frustrated and tends to want to give up he is aloof with his team he seems unhappy with where he is within the team,train
32,Kayden Hill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,419,4,0,0,kayden ha consistently failed to deliver on a numerous amount of task around the office he show up with a standoffish attitude and constantly fails to meet expected deadline additionally the quality of his submission ha been decreasing greatly over the last few month i do not currently see kayden a an individual who i expect to succeed in the office and i do not believe that he is an asset to the team,train
31,Kayden Hill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,455,3,0,0,kayden hill ha shown no improvement over the last quarter she ha continued to perform at the lowest standard possible and show no desire to better herself or seek assistance to improve every single area of her work need immediate improvement if there is no improvement shown i feel that we have no choice to dismiss this employee a her low performance and work ethic could soon become harmful to the company and effect the work ethic of her peer,train
30,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,165,4,0,0,need to apply himself at work too distracted and no indication that thing will improve possible retraining needed we need to see that broderick can work well,train
29,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,266,4,0,0,broderick hay ha been a member of our team for the past year he ha demonstrated a lack of motivation during work hour there have been several customer complaint due to unresolved issue unfortunately we are unable to continue his employment at this time,train
28,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,193,4,0,0,mr hay is always running late or missing work mr hay ha yet to hand in an assignment on time mr hay put in little effort and work to his assignment doesnt appear to enjoy this job,train
26,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,388,5,0,0,mackenzie ha been frustrating to work with in the last quarter shes frequently late to return assignment and doe not attend meeting on time her work product is riddled with typo when ive asked her to make correction shes slow to do so and shes often confused about my instruction unfortunately i believe that mackenzie doe not have the ability to improve much from here,train
25,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,193,4,0,0,where do i start mackenzie is detrimental to our company she is not meeting any of her company goal and i do not see how she can improve i would not recommend rehiring her for any position,train
24,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,576,6,0,0,the report that jalen turn in to me usually reflect a very poor effort for example theyre filled with basic spelling error the font randomly change from page to page and the formatting and spacing are often inconsistent this is always frustrating because correcting these error take a significant amount of time when ive spoken to jalen about the importance of reviewing and proofreading work he ha blown me off and continued to submit subpar work unfortunately his lack of willingness to change show me that he not invested in moving up in this company,train
22,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,206,3,0,0,i think that jalen should be trained more so a to perfect his skill i believe that people with low quality skill are willing to learnso that should not be a problem with him i say give him more time,train
21,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,315,4,0,0,tom doe not show any potential in his job performance tom never seems to be caught up with the team and is always behind on his work tom ha a bad attitude and continues to make excuse for his performance tom need more training to make sure we are offering everything to help him be successful in this career,train
20,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,247,4,0,0,tom barrett ha a problem with keeping up i wish he would just take more action and work harder but it seems something is holding him back unfortunately he is not going to be a good longterm worker if only he wa more focused and determined,train
18,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,292,5,0,0,libby we must talk about your performance your number do not reflect the amount of time you are spending on task the quality of your work is so low we may need to let you go let see what we can do to improve your work you can be a much better performer if you work with u to improve,train
17,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,322,5,0,0,libby started off well but no longer ha motivation to perform well she show no sign of interest and ha no ambition she is performing poorly and doesnt show effort in her work she no longer take the job serious she need to change her work ethic soon or else she will no longer have a job within our institution,train
16,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,560,5,0,0,even though libby is a senior associate she turn in work product that consistently seems like it come from a firstyear associate she make careless mistake and never check her spelling or grammar she is hesitant and shy about speaking with client even though that should be a key part of her role at this level it frequently take her hour to complete an assignment that should take 20 minute or le moreover libby never listens to my feedback or take it seriously so i cannot imagine that her future at this company will last for much longer,train
15,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,338,4,0,0,george wa given ample warning last quarter that his work had fallen below respectable level this quarter george input in our division ha remained subpar he doesnt seem committed to changing his behavior and show no enthusiasm towards his job or towards his fellow colleague i strongly recommend that we terminate his contract,train
71,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,351,4,0,0,tom barrett doe not seem to take his position seriously his lack of punctuality and useful input make him more of a burden to the team task are rarely completed within a reasonable timeframe and other team member have had to take on extra work to complete project tom work often requires proof reading before submission adding an extra task,train
13,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,492,4,0,0,im always nervous to assign george a report to draft because i know that it going to require so much of my time to edit george just simply is not a reliable member of our team since he frequently skirt assignment and relies on others to draft major portion even worse i caught a whole paragraph that he had plagiarized in one of his report which wa unacceptable george is not anticipated to advance to further level within our department given how careless his work product is,train
12,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,202,4,0,0,libby parker ha never been a good worker also she show no promise in the future at the company from what she show it appears that she doesnt care most day she put in minimal effort on her work,train
10,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,336,4,0,0,libby work need serious improvement in all area her number are dismal and her enthusiasm and work ethic are practically nonexistent i am unsure how she managed to earn the position shes in a i see nothing from her that would indicate that shes capable we will likely need to speak with her about her substandard performance,train
9,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,331,4,0,0,george gill present a lot of risk for the achievement of our company his work ethic is not consistent and he come into work late often george cannot be trusted to complete even simple task in a timely manner please consider additional training to provide a second chance prior to action being taken on a more permanent level,train
6,John Doe,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,197,2,0,0,john doe demonstrates a low level of knowledge of the required work procedure and his work doe not comply with the required output standard also he is reluctant to take on new responsibility,train
3,John Doe,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,488,5,0,0,john turned in subpar work product all quarter when i asked him to make revision he repeatedly failed to implement the correction that i had requested he also seemed confused and lost whenever we had discussion about the report and the number in the data he wa not interested in learning more when i gave him opportunity to participate in training he seems to have already reached his full potential here which is disappointing given the quality of work ive seen from him,train
2,John Doe,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,485,4,0,0,john ha consistently disappointed me this quarter with his shoddy work product i asked him for a report and gave him a lenient twoweek deadline but he blew past that deadline without even informing me when he finally turned the report in it wa three week late and riddled with typo he did not seem interested in any of the comment that i made on that report even though i made them for his benefit so he would understand what a highquality report is supposed to look like,train
35,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,482,4,0,0,i can never trust kohen with any assignment since i know that any work he return to me will be full of miscalculation and data analysis problem the last report that he submitted to me had a simple arithmetic error in order to advance at this company he need to be willing to put in the time and effort to spotcheck his work and catch glaring error because he ha been unwilling to do so even after repeated warning i do not see him moving up further in this department,train
14,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,295,4,0,0,had a chance to work with george gill last year on few project i am not sure why his performance wa a i expected and there could be many reason behind this i also found him struggling to understanding small task i believe he need training and counselling so that he could perform better,train
37,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,302,4,0,0,kohen norris ha been for a lack of better word incompetent i would like to say more positive thing about him but he ha not shown any potential in regard to his work he often is late and smell poorly despite our company guideline i feel it is in our best interest to drop him from the company,train
36,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,169,4,0,0,kohen is terrible would never use them on a team again nothing they did wa right and it hurt our team the room for improvement and the desire to improve is not there,train
69,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,203,5,0,0,tom barrett need to work harder i often see him playing on his phone during work hour he rarely respond to his work email his project are never delivered on time i do not see any potential in him,train
68,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,400,4,0,0,unfortunately tom is an abysmal worker and im not sure how much longer we can employ him he consistently produce below quality work is usually late and work poorly with others not only that he ha no drive to improve himself and doe not respond to feedback at all he is a very below average performer and ha not improved since he wa joined u and i do not believe he will ever improve,train
67,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,340,6,0,0,libby parker is one of the laziest colleague i have ever had the displeasure of working with she show up late but lie on her time stamp she text during meeting she turn in rushed work she talk behind people back i think libby ha little of a future in this company and would not blink an eye at her removal from my division,train
63,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,355,4,0,0,george is a le than ideal employee he struggle to complete basic task he is assigned and if he completes them they are often late he doe not ask question when he need clarification and is hesitant in meeting and with his team i believe his current skill level and unwillingness to seek help or opportunity will hold him back in the long run,train
62,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,445,6,0,0,george show up late to almost every meeting he so distracted during meeting with his instant messaging and his text message that he often ha no idea what the discussion is about when i ask him to take minute his note are sloppy and incomplete since he our secretary this is unacceptable he ha shown no interest in our work and thus his heart is not in this job i do not see thing turning around for him given his poor attitude,train
61,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,552,6,0,0,i do not waste your time or my time so i am going to be a straight shooter your performance ha not been what we want it to be i do not see much potential in your motivation right now in the task we are asking from you i need you to increase your performance and live up to all the other colleague most people would probably not give you one more chance but i need you to do better but i need you to understand it is a chance that is timed and extremely sensitiveand quite generous if you do not improve at all we will have to let you go,train
60,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,244,5,0,0,mr geroge gill struggle to get the task done he is constantly distracted chatting with his fellow worker also his work performance is poor due to his lack of devotion he need to learn to focus if mr gill keep up he wont progress far,train
58,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,252,5,0,0,caiden ha had no enthusiasm in working on the major group project he ha consistently missed meeting he ha not given time to his personal goal a we had set them together earlier last quarter caiden need to get his mind on the job very soon,train
57,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,334,4,0,0,caiden repeatedly arrives late to work or neglect to show up at all he show no interest in his work and put a little effort a possible into completing it he is short and rude in conversation with coworkers he ha expressed dissatisfaction with management and stated that he is looking for another job and wont be here long,train
56,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,419,5,0,0,caiden ha slumped greatly in performance this quarter although he appears to be working at his desk i notice that the quality of work he submits ha greatly diminished he also lack ambition and make no effort to improve his work upon feedback caiden should seek to use constructive feedback from others rather than resist it his performance should continue to be monitored by the quality assurance department,train
55,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,412,4,0,0,caiden pace ha repeatedly showed a lack of motivation and drive for the position his work quality and task efficiency have remained subpar for quite some time this would generally be expected to improve over time however his lack of drive lead me to believe we will not see much improvement in the foreseeable future unfortunately i do not believe that at the current moment he is suited for the position,train
54,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,274,4,0,0,caiden doe not produce good work and need to be supervised constantly caiden is disruptive to other employee and can lower others performance level caiden doesnt not engage or ask many question about assignment caiden can be frequently found browsing the internet,train
65,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,364,5,0,0,libby performed poorly this quarter she consistently miss deadline and come into the office late she often doe not get along with her coworkers creating tension in the office her only redeeming quality is when she is focused she can produce good work unfortunately that is not very often and her negative outweigh any good work she is able to produce,train
52,Addison Cohen,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,314,4,0,0,addison cohen ha had a slow start at our company her output is le than standard addison may benefit from additional training andor goal setting addison will need to pick up her pace if she would like to continue to work at the company suggest review in 3 month to see if any improvement have occurred,train
53,Addison Cohen,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,205,4,0,0,addison cohen fails to deliver he consistently provides significantly subpar work the mistake made by addison are liable to impact the company significantly i advise against continuing his employment,train
39,Aryanna Carney,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,180,2,0,0,aryanna is a team player but need guidance in her actual implementation of skill at work she struggle with following direction and often need reminder to meet goal on time,train
38,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,523,6,0,0,kohen norris ha earned the risk rating for the current evaluation period this is the second consecutive evaluation in which kohen ha received a negative performance review during this time he ha been given a detailed outline of what he need to improve however he ha not made progress on any item nor ha he shown the desire to do so finally he continues to struggle on contributing to project without significant help i believe he is headed toward termination if he doe not improve in the next 2 month,train
43,Aryanna Carney,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,331,4,0,0,aryanna ha had difficulty adjusting to her place at work and the task at hand aryanna seems confused or turn in work unfinished or filled with mistake she doe not seem motivated to learn or change the thing she need to in order to have a future with u we might be slowed down a a company if we keep this worker around,train
44,Wade Stanley,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,300,4,0,0,wade is an abysmal worker who fails to produce any valuable work he is always late doe not work well with others and fails to meet every expectation furthermore he fails to respond to feed back and i have yet to see him try to improve himself i recommend that he be removed a soon a possible,train
41,Aryanna Carney,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,368,5,0,0,aryanna is a very weak worker i suggest that she be terminated immediately she is unable to preform the simplest of task and very inconsistently produce acceptable work she doe not work well with others and ha shown no desire to learn and improve her self i do not think she will improve beyond her current ability and overall is a very disappointing worker,train
