id,person_name,nine_box_category,feedback,adjusted,reviewed,label,feedback_len,num_of_sent,performance_class,potential_class,data_type
10168,Katherine Terry,"Category 1: 'Risk' (Low performance, Low potential)","Katherine struggles to meet the minimum requirements of her role. On several occasions, she did not perform in accordance with company standards, and this resulted in significant rework. Katherine is perceived as someone who cannot be relied upon, and this has created a toxic atmosphere in her team. Katherine has indicated that she is not willing to work on her performance. For these reasons, Katherine must be seen as both a low performer and a worker with low potential. At this stage, unfortunately it is concluded that Katherine would be at risk of redundancy.",FALSE,FALSE,0,567,6,0,0,train
10167,Katherine Terry,"Category 1: 'Risk' (Low performance, Low potential)","Katherine has a bad attitude towards work and has caused some concern on the team. Her everyday performance is low in quality, and attempts at training have been unsuccessful. High priority on redundancy list.",FALSE,FALSE,0,209,3,0,0,train
10140,Lexi Rogers,"Category 1: 'Risk' (Low performance, Low potential)",Lexi Rogers does not meet expectations with the tasks given to her. Rogers lacks consistency in her work and communication. It is clear to me that more training is required of her until she can meet expectations. If she does not work up to the expectations she should be terminated.,TRUE,TRUE,0,282,4,0,0,train
10127,Marc Hughes,"Category 1: 'Risk' (Low performance, Low potential)",Marc Hughes is not showing the intent that is needed at this level. Overall his work has shown little talent. He will do well to continue developing his skills at this time. The work has been irregular at best.,FALSE,FALSE,0,210,4,0,0,train
10126,Marc Hughes,"Category 1: 'Risk' (Low performance, Low potential)",Your achievements are well below the normal average None of your activities meet quality standards. Your creativity is null Your communication skills are very poor,FALSE,TRUE,0,163,2,0,0,train
10125,Marc Hughes,"Category 1: 'Risk' (Low performance, Low potential)","Marc needs a lot of improvement for next quarter. He needs improvement on listening and using objective language when writing the session notes. Another area to improve on is conducting the therapy sessions with the kids. Marc is great with the children; however, he could improve on his multi-tasking with playing with the kids and working on the protocols.",FALSE,FALSE,0,358,4,0,0,train
10087,Layla Scott,"Category 1: 'Risk' (Low performance, Low potential)","Layla Scott often shows up to work late, often without an valid email or notification leaving the team wondering. We sometimes could not see her in her office for a long period of time. Her performances were underwhelming. It takes her three times than average worker's time to finish half of a regular assigned tasks.",FALSE,FALSE,0,318,4,0,0,train
10085,Layla Scott,"Category 1: 'Risk' (Low performance, Low potential)",Layla Scott is an underachiever and does the bare minimum at best.  She seldom comes to work early and we are lucky if she comes on time at all.  She is constantly calling off shifts for work with little notice.  She has very low potential of ever becoming a good waitress simply because she refuses to listen to advice or instruction.,FALSE,FALSE,0,335,4,0,0,train
10059,Amelie Martin,"Category 1: 'Risk' (Low performance, Low potential)",Amelie is a fickle minded person. She comes late to the office very often. Is irregular in attending meetings & not listening properly. Unable to answer client's queries in meetings & on emails. Unable to maintain proper balance between Work & Personal Life. Unprofessional behavior with colleagues & seniors. This is in spite of the fact that she has some talent in her to produce better results. Needs to be guided in proper direction.,TRUE,TRUE,0,437,8,0,0,train
70,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)","Tom Barrett has been struggling in his position, his work is rarely up to the minimum acceptable level. He makes too many errors and is reluctant to accept criticism thus hampering his ability to improve. He seems distracted at work and is often late completing tasks when all others have long finished. Overall I can not see any prospect of improvement in the future.",FALSE,FALSE,0,368,4,0,0,train
33,Kayden Hill,"Category 1: 'Risk' (Low performance, Low potential)","Kayden Hill struggles with the tasks set before him. He is easily frustrated, and tends to want to give up. He is aloof with his team. He seems unhappy with where he is within the team.",FALSE,TRUE,0,185,4,0,0,train
32,Kayden Hill,"Category 1: 'Risk' (Low performance, Low potential)","Kayden has consistently failed to deliver on a numerous amount of tasks around the office. He shows up with a stand-offish attitude and constantly fails to meet expected deadlines. Additionally, the quality of his submissions has been decreasing greatly over the last few months. I do not currently see Kayden as an individual who I expect to succeed in the office, and I do not believe that he is an asset to the team.",FALSE,TRUE,0,419,4,0,0,train
31,Kayden Hill,"Category 1: 'Risk' (Low performance, Low potential)","Kayden Hill has shown no improvement over the last quarter. She has continued to perform at the lowest standard possible and shows no desire to better herself or seek assistance to improve. Every single area of her work needs immediate improvement, if there is no improvement shown I feel that we have no choice to dismiss this employee as her low performance and work ethic could soon become harmful to the company and effect the work ethic of her peers.",FALSE,TRUE,0,455,3,0,0,train
30,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)","Needs to apply himself at work. Too distracted and no indication that things will improve. 
Possible re-training needed. We need to see that Broderick can work well.",FALSE,TRUE,0,165,4,0,0,train
29,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)","Broderick Hays has been a member of our team for the past year.  He has demonstrated a lack of motivation during work hours.  There have been several customer complaints due to unresolved issues.  Unfortunately, we are unable to continue his employment at this time.",FALSE,TRUE,0,266,4,0,0,train
28,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",Mr. Hays is always running late or missing work. Mr. Hays has yet to hand in an assignment on time. Mr. Hays puts in little effort and work to his assignments. Doesn't appear to enjoy this job.,FALSE,TRUE,0,193,4,0,0,train
26,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)","Mackenzie has been frustrating to work with in the last quarter. She's frequently late to return assignments and does not attend meetings on time. Her work product is riddled with typos. When I've asked her to make corrections, she's slow to do so and she's often confused about my instructions. Unfortunately, I believe that Mackenzie does not have the ability to improve much from here.",FALSE,TRUE,0,388,5,0,0,train
25,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)","Where do I start? Mackenzie is detrimental to our company. She is not meeting any of her company goals, and i do not see how she can improve. I would not recommend rehiring her for any position",FALSE,TRUE,0,193,4,0,0,train
24,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)","The reports that Jalen turns in to me usually reflect a very poor effort. For example, they're filled with basic spelling errors. The font randomly changes from page to page, and the formatting and spacing are often inconsistent. This is always frustrating because correcting these errors takes a significant amount of time. When I've spoken to Jalen about the importance of reviewing and proof-reading work, he has blown me off and continued to submit subpar work. Unfortunately, his lack of willingness to change shows me that he's not invested in moving up in this company.",FALSE,TRUE,0,576,6,0,0,train
22,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",I think that Jalen should be trained more so as to perfect his skills. I believe that people with low quality skills are willing to learn.So that should not be a problem with him. I say give him more time .,FALSE,FALSE,0,206,3,0,0,train
21,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",Tom does not show any potential in his job performance. Tom never seems to be caught up with the team and is always behind on his work. Tom has a bad attitude and continues to make excuses for his performance. Tom needs more training to make sure we are offering everything to help him be successful in this career.,FALSE,TRUE,0,315,4,0,0,train
20,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)","Tom Barrett has a problem with keeping up. I wish he would just take more action and work harder, but it seems something is holding him back. Unfortunately, he is not going to be a good long-term worker. If only he was more focused and determined.",FALSE,TRUE,0,247,4,0,0,train
18,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",Libby we must talk about your performance. Your numbers do not reflect the amount of time you are spending on tasks. The quality of your work is so low we may need to let you go. Let's see what we can do to improve your work. You can be a much better performer if you work with us to improve.,FALSE,TRUE,0,292,5,0,0,train
17,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",Libby started off well but no longer has motivation to perform well. She shows no signs of interest and has no ambitions. She is performing poorly and doesn't show effort in her work. She no longer takes the job serious. She needs to change her work ethic soon or else she will no longer have a job within our institution.,FALSE,TRUE,0,322,5,0,0,train
16,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)","Even though Libby is a senior associate, she turns in work product that consistently seems like it's come from a first-year associate. She makes careless mistakes and never checks her spelling or grammar. She is hesitant and shy about speaking with clients even though that should be a key part of her role at this level. It frequently takes her hours to complete an assignment that should take 20 minutes or less. Moreover, Libby never listens to my feedback or takes it seriously so I cannot imagine that her future at this company will last for much longer.",FALSE,TRUE,0,560,5,0,0,train
15,George Gill,"Category 1: 'Risk' (Low performance, Low potential)","George was given ample warning last quarter that his work had fallen below respectable levels. This quarter, George's input in our division has remained subpar. He doesn't seem committed to changing his behavior and shows no enthusiasm towards his job or towards his fellow colleagues. I strongly recommend that we terminate his contract.",FALSE,TRUE,0,338,4,0,0,train
71,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)","Tom Barrett does not seem to take his position seriously. His lack of punctuality and useful input make him more of a burden to the team. Tasks are rarely completed within a reasonable timeframe and other team members have had to take on extra work to complete projects. Tom's work often requires proof reading before submission, adding an extra task.",FALSE,FALSE,0,351,4,0,0,train
13,George Gill,"Category 1: 'Risk' (Low performance, Low potential)","I'm always nervous to assign George a report to draft, because I know that it's going to require so much of my time to edit. George just simply is not a reliable member of our team since he frequently skirts assignments and relies on others to draft major portions. Even worse, I caught a whole paragraph that he had plagiarized in one of his reports, which was unacceptable. George is not anticipated to advance to further levels within our department given how careless his work product is.",FALSE,TRUE,0,492,4,0,0,train
12,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)",Libby Parker has never been a good worker. Also she shows no promise in the future at the company. From what she shows it appears that she doesn't care. Most days she puts in minimal effort on her work.,FALSE,TRUE,0,202,4,0,0,train
10,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)","Libby's work need serious improvement in all areas. Her numbers are dismal and her enthusiasm and work ethic are practically non-existent. I am unsure how she managed to earn the position she's in, as I see nothing from her that would indicate that she's capable. We will likely need to speak with her about her substandard performance.",FALSE,TRUE,0,336,4,0,0,train
9,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",George Gill presents a lot of risk for the achievement of our company. His work ethic is not consistent and he comes into work late often. George cannot be trusted to complete even simple tasks in a timely manner. Please consider additional training to provide a second chance prior to action being taken on a more permanent level.,FALSE,TRUE,0,331,4,0,0,train
6,John Doe,"Category 1: 'Risk' (Low performance, Low potential)",John Doe demonstrates a low level of knowledge of the required work procedures and his work does not comply with the required output standards. Also he is reluctant to take on new responsibilities.,FALSE,TRUE,0,197,2,0,0,train
3,John Doe,"Category 1: 'Risk' (Low performance, Low potential)","John turned in subpar work product all quarter. When I asked him to make revisions, he repeatedly failed to implement the corrections that I had requested. He also seemed confused and lost whenever we had discussions about the reports and the numbers in the data. He was not interested in learning more when I gave him opportunities to participate in trainings. He seems to have already reached his full potential here, which is disappointing given the quality of work I've seen from him.",FALSE,TRUE,0,488,5,0,0,train
2,John Doe,"Category 1: 'Risk' (Low performance, Low potential)","John has consistently disappointed me this quarter with his shoddy work product. I asked him for a report and gave him a lenient two-week deadline, but he blew past that deadline without even informing me. When he finally turned the report in, it was three weeks late and riddled with typos. He did not seem interested in any of the comments that I made on that report, even though I made them for his benefit so he would understand what a high-quality report is supposed to look like.",FALSE,TRUE,0,485,4,0,0,train
35,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)","I can never trust Kohen with any assignment, since I know that any work he returns to me will be full of miscalculations and data analysis problems. The last report that he submitted to me had a simple arithmetic error. In order to advance at this company he needs to be willing to put in the time and effort to spot-check his work and catch glaring errors. Because he has been unwilling to do so, even after repeated warnings, I do not see him moving up further in this department.",FALSE,TRUE,0,482,4,0,0,train
14,George Gill,"Category 1: 'Risk' (Low performance, Low potential)",Had a chance to work with George Gill last year on few projects. I am not sure why his performance was as I expected and there could be many reason behind this. I also found him struggling to understanding small tasks. I believe he needs training and counselling so that he could perform better.,FALSE,TRUE,0,295,4,0,0,train
37,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",Kohen Norris has been for a lack of better words incompetent. I would like to say more positive things about him but he has not shown any potential in regards to his work. He often is late and smells poorly despite our company guidelines. I feel it is in our best interest to drop him from the company.,FALSE,TRUE,0,302,4,0,0,train
36,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",Kohen is terrible. Would never use them on a team again. Nothing they did was right and it hurt our team. The room for improvement and the desire to improve is not there,FALSE,TRUE,0,169,4,0,0,train
69,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)",Tom Barrett needs to work harder. I often see him playing on his phone during work hours. He rarely respond to his work email. His projects are never delivered on time. I do not see any potential in him.,FALSE,FALSE,0,203,5,0,0,train
68,Tom Barrett,"Category 1: 'Risk' (Low performance, Low potential)","Unfortunately , Tom is an abysmal worker and I'm not sure how much longer we can employ him. He consistently produces below quality work, is usually late, and works poorly with others. Not only that, he has no drive to improve himself and does not respond to feedback at all. He is a very below average performer and has not improved since he was joined us, and I do not believe he will ever improve.",FALSE,FALSE,0,400,4,0,0,train
67,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)","Libby Parker is one of the laziest colleagues I have ever had the displeasure of working with. She shows up late, but lies on her time stamp. She texts during meetings. She turns in rushed work. She talks behind peoples' backs. I think Libby has little of a future in this company and would not blink an eye at her removal from my division.",FALSE,FALSE,0,340,6,0,0,train
63,George Gill,"Category 1: 'Risk' (Low performance, Low potential)","George is a less than ideal employee. He struggles to complete basic tasks he is assigned and if he completes them, they are often late. He does not ask questions when he needs clarification and is hesitant in meetings and with his team. I believe his current skill level and unwillingness to seek help or opportunities will hold him back in the long run.",FALSE,FALSE,0,355,4,0,0,train
62,George Gill,"Category 1: 'Risk' (Low performance, Low potential)","George shows up late to almost every meeting. He's so distracted during meetings with his instant messaging and his text messages that he often has no idea what the discussion is about. When I ask him to take minutes, his notes are sloppy and incomplete. Since he's our secretary this is unacceptable. He has shown no interest in our work and thus his heart is not in this job. I do not see things turning around for him given his poor attitude.",FALSE,FALSE,0,445,6,0,0,train
61,George Gill,"Category 1: 'Risk' (Low performance, Low potential)","I do not waste your time or my time so I am going to be a straight shooter: Your performance has not been what we want it to be. I do not see much potential in your motivation right now in the tasks we are asking from you. I need you to increase your performance and live up to all the other colleagues. Most people would probably not give you one more chance, but I need you to do better. But I need you to understand, it is a chance that is timed and extremely sensitive---and quite generous. If you do not improve at all, we will have to let you go.",FALSE,FALSE,0,552,6,0,0,train
60,George Gill,"Category 1: 'Risk' (Low performance, Low potential)","Mr Geroge Gill struggles to get the task done. He is constantly distracted chatting with his fellow workers. Also his work performance is poor due to his lack of devotion. He needs to learn to focus. If Mr. Gill keeps up, he won't progress far.",FALSE,FALSE,0,244,5,0,0,train
58,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)",Caiden has had no enthusiasm in working on the major group project. He has consistently missed meetings. He has not given time to his personal goals as we had set them together earlier last quarter. Caiden needs to get his mind on the job very soon.  .,FALSE,FALSE,0,252,5,0,0,train
57,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)","Caiden repeatedly arrives late to work, or neglects to show up at all. He shows no interest in his work and puts as little effort as possible into completing it. He is short and rude in conversations with coworkers. He has expressed dissatisfaction with management and stated that he is looking for another job and won't be here long.",FALSE,FALSE,0,334,4,0,0,train
56,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)","Caiden has slumped greatly in performance this quarter. Although he appears to be working at his desk, I notice that the quality of work he submits has greatly diminished. He also lacks ambition, and makes no effort to improve his work upon feedback. Caiden should seek to use constructive feedback from others, rather than resist it. His performance should continue to be monitored by the quality assurance department.",FALSE,FALSE,0,419,5,0,0,train
55,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)","Caiden Pace has repeatedly showed a lack of motivation and drive for the position. His work quality and task efficiency have remained sub-par for quite some time. This would generally be expected to improve over time, however his lack of drive leads me to believe we will not see much improvement in the foreseeable future. Unfortunately I do not believe that at the current moment he is suited for the position.",FALSE,FALSE,0,412,4,0,0,train
54,Caiden Pace,"Category 1: 'Risk' (Low performance, Low potential)",Caiden does not produce good work and needs to be supervised constantly. Caiden is disruptive to other employees and can lower others performance levels. Caiden doesn't not engage or ask many questions about assignments. Caiden can be frequently found browsing the internet.,FALSE,FALSE,0,274,4,0,0,train
65,Libby Parker,"Category 1: 'Risk' (Low performance, Low potential)","Libby performed poorly this quarter. She consistently misses deadlines and comes into the office late. She often does not get along with her coworkers, creating tension in the office. Her only redeeming quality is when she is focused, she can produce good work. Unfortunately, that is not very often and her negatives outweigh any good work she is able to produce.",FALSE,TRUE,0,364,5,0,0,train
52,Addison Cohen,"Category 1: 'Risk' (Low performance, Low potential)","Addison Cohen has had a slow start at our company, her output is less than standard.  Addison may benefit from additional training and/or goal setting.  Addison will need to pick up her pace if she would like to continue to work at the company.  Suggest review in 3 months to see if any improvements have occurred.",FALSE,FALSE,0,314,4,0,0,train
